"t","src_reg","dst_reg","sp1","sp2","sp3"
301,3,4,0,0,0
301,3,5,0,0,0
301,3,6,1,0,0
301,3,7,1,0,0
301,3,8,2,0,0
301,3,9,0,0,0
301,4,1,0,0,0
301,4,2,0,0,0
301,4,3,0,0,0
301,4,4,0,0,0
301,4,5,0,0,0
301,4,6,0,0,0
301,4,7,0,0,0
301,4,8,0,0,0
301,4,9,0,0,0
301,5,1,0,0,0
301,5,2,0,0,0
301,5,3,0,0,1
301,5,4,0,0,0
301,5,5,0,0,0
301,5,6,0,0,0
301,5,7,0,0,0
301,5,8,0,0,0
301,5,9,0,0,0
301,6,1,0,1,0
301,6,2,0,0,0
301,6,3,0,0,0
301,6,4,0,1,0
301,6,5,0,1,0
301,6,6,0,0,0
301,6,7,0,0,0
301,6,8,0,0,0
301,6,9,0,0,0
301,7,1,0,0,1
301,7,2,0,0,0
301,7,3,0,0,1
301,7,4,0,0,3
301,7,5,0,0,0
301,7,6,0,0,0
301,7,7,0,0,0
301,7,8,0,0,1
301,7,9,0,0,0
301,8,1,0,0,0
301,8,2,0,0,0
301,8,3,0,0,0
301,8,4,0,0,0
301,8,5,1,0,0
301,8,6,0,0,0
301,8,7,3,0,0
301,8,8,0,0,0
301,8,9,0,0,0
301,9,1,0,0,0
301,9,2,0,0,1
301,9,3,0,0,1
301,9,4,0,0,0
301,9,5,0,0,0
301,9,6,0,0,0
301,9,7,0,0,2
301,9,8,0,0,0
301,9,9,0,0,0
401,1,1,0,0,0
401,1,2,0,0,0
401,1,3,0,0,0
401,1,4,0,0,1
401,1,5,0,0,1
401,1,6,0,0,1
401,1,7,0,0,1
401,1,8,0,0,0
401,1,9,0,0,0
401,2,1,0,0,0
401,2,2,0,0,0
401,2,3,0,1,0
401,2,4,0,0,0
401,2,5,0,0,0
401,2,6,0,0,0
401,2,7,0,0,0
401,2,8,0,0,0
401,2,9,0,0,0
401,3,1,1,0,0
401,3,2,1,0,0
401,3,3,0,0,0
401,3,4,0,0,0
401,3,5,0,0,0
401,3,6,0,0,0
401,3,7,0,0,0
401,3,8,0,0,0
401,3,9,0,0,0
401,4,1,0,0,0
401,4,2,0,0,0
401,4,3,0,0,0
401,4,4,0,0,0
401,4,5,0,1,0
401,4,6,0,0,0
401,4,7,0,1,0
401,4,8,0,0,0
401,4,9,0,0,0
401,5,1,0,0,0
401,5,2,0,0,0
401,5,3,0,0,0
401,5,4,0,0,0
401,5,5,0,0,0
401,5,6,0,0,0
401,5,7,0,0,0
401,5,8,0,0,2
401,5,9,0,0,0
401,6,1,0,2,0
401,6,2,0,1,0
401,6,3,0,0,0
401,6,4,0,0,0
401,6,5,0,1,0
401,6,6,0,0,0
401,6,7,0,0,0
401,6,8,0,0,0
401,6,9,0,0,0
401,7,1,0,0,0
401,7,2,0,0,0
401,7,3,0,0,2
401,7,4,0,0,1
401,7,5,0,0,0
401,7,6,0,0,0
401,7,7,0,0,0
401,7,8,0,0,0
401,7,9,0,0,0
401,8,1,1,0,0
401,8,2,0,0,0
401,8,3,0,0,0
401,8,4,0,0,0
401,8,5,1,0,0
401,8,6,1,0,0
401,8,7,1,0,0
401,8,8,0,0,0
401,8,9,0,0,0
401,9,1,0,0,0
401,9,2,0,0,0
401,9,3,0,0,2
401,9,4,0,0,0
401,9,5,0,0,0
401,9,6,0,0,2
401,9,7,0,0,1
401,9,8,0,0,0
401,9,9,0,0,0
501,1,1,0,0,0
501,1,2,0,0,0
501,1,3,0,0,0
501,1,4,0,0,1
501,1,5,0,0,0
501,1,6,0,0,1
501,1,7,0,0,2
501,1,8,0,0,1
501,1,9,0,0,1
501,2,1,0,0,0
501,2,2,0,0,0
501,2,3,0,0,0
501,2,4,0,1,0
501,2,5,0,1,0
501,2,6,0,0,0
501,2,7,0,0,0
501,2,8,0,2,0
501,2,9,0,0,0
501,3,1,2,0,0
501,3,2,0,0,0
501,3,3,0,0,0
501,3,4,0,0,0
501,3,5,1,0,0
501,3,6,0,0,0
501,3,7,1,0,0
501,3,8,0,0,0
501,3,9,0,0,0
501,4,1,0,0,0
501,4,2,0,1,0
501,4,3,0,1,0
501,4,4,0,0,0
501,4,5,0,2,0
501,4,6,0,0,0
501,4,7,0,0,0
501,4,8,0,0,0
501,4,9,0,1,0
501,5,1,0,0,1
501,5,2,0,0,0
501,5,3,0,0,0
501,5,4,0,0,0
501,5,5,0,0,0
501,5,6,0,0,0
501,5,7,0,0,0
501,5,8,0,0,1
501,5,9,0,0,2
501,6,1,0,0,0
501,6,2,0,0,0
501,6,3,0,1,0
501,6,4,0,0,0
501,6,5,0,0,0
501,6,6,0,0,0
501,6,7,0,1,0
501,6,8,0,0,0
501,6,9,0,2,0
501,7,1,0,0,0
501,7,2,0,0,1
501,7,3,0,0,1
501,7,4,0,0,0
501,7,5,0,0,0
501,7,6,0,0,0
501,7,7,0,0,0
501,7,8,0,0,1
501,7,9,0,0,1
501,8,1,1,0,0
501,8,2,0,0,0
501,8,3,0,0,0
501,8,4,1,0,0
501,8,5,1,0,0
501,8,6,0,0,0
501,8,7,0,0,0
501,8,8,0,0,0
501,8,9,0,0,0
501,9,1,0,0,1
501,9,2,0,0,0
501,9,3,0,0,0
501,9,4,0,0,0
501,9,5,0,0,0
501,9,6,0,0,1
501,9,7,0,0,0
501,9,8,0,0,0
501,9,9,0,0,0
601,1,1,0,0,0
601,1,2,0,0,1
601,1,3,0,0,0
601,1,4,0,0,0
601,1,5,0,0,0
601,1,6,0,0,0
601,1,7,0,0,0
601,1,8,0,0,0
601,1,9,0,0,0
601,2,1,0,1,0
601,2,2,0,0,0
601,2,3,0,1,0
601,2,4,0,0,0
601,2,5,0,0,0
601,2,6,0,0,0
601,2,7,0,1,0
601,2,8,0,0,0
601,2,9,0,0,0
601,3,1,0,0,0
601,3,2,0,0,0
601,3,3,0,0,0
601,3,4,0,0,0
601,3,5,0,0,0
601,3,6,0,0,0
601,3,7,1,0,0
601,3,8,1,0,0
601,3,9,0,0,0
601,4,1,0,0,0
601,4,2,0,0,0
601,4,3,0,1,0
601,4,4,0,0,0
601,4,5,0,0,0
601,4,6,0,1,0
601,4,7,0,0,0
601,4,8,0,1,0
601,4,9,0,0,0
601,5,1,0,0,0
601,5,2,0,0,1
601,5,3,0,0,0
601,5,4,0,0,0
601,5,5,0,0,0
601,5,6,0,0,1
601,5,7,0,0,0
601,5,8,0,0,0
601,5,9,0,0,0
601,6,1,0,0,0
601,6,2,0,0,0
601,6,3,0,0,0
601,6,4,0,0,0
601,6,5,0,0,0
601,6,6,0,0,0
601,6,7,0,0,0
601,6,8,0,0,0
601,6,9,0,0,0
601,7,1,0,0,1
601,7,2,0,0,0
601,7,3,0,0,0
601,7,4,0,0,0
601,7,5,0,0,0
601,7,6,0,0,0
601,7,7,0,0,0
601,7,8,0,0,1
601,7,9,0,0,1
601,8,1,0,0,0
601,8,2,0,0,0
601,8,3,0,0,0
601,8,4,0,0,0
601,8,5,0,0,0
601,8,6,0,0,0
601,8,7,0,0,0
601,8,8,0,0,0
601,8,9,0,0,0
601,9,1,0,0,0
601,9,2,0,0,1
601,9,3,0,0,0
601,9,4,0,0,1
601,9,5,0,0,0
601,9,6,0,0,0
601,9,7,0,0,2
601,9,8,0,0,0
601,9,9,0,0,0
701,1,1,0,0,0
701,1,2,0,0,0
701,1,3,0,0,0
701,1,4,0,0,0
701,1,5,0,0,0
701,1,6,0,0,1
701,1,7,0,0,1
701,1,8,0,0,0
701,1,9,0,0,0
701,2,1,0,1,0
701,2,2,0,0,0
701,2,3,0,1,0
701,2,4,0,1,0
701,2,5,0,0,0
701,2,6,0,0,0
701,2,7,0,0,0
701,2,8,0,1,0
701,2,9,0,0,0
701,3,1,1,0,0
701,3,2,0,0,0
701,3,3,0,0,0
701,3,4,0,0,0
701,3,5,0,0,0
701,3,6,0,0,0
701,3,7,2,0,0
701,3,8,0,0,0
701,3,9,0,0,0
701,4,1,0,0,0
701,4,2,0,0,0
701,4,3,0,1,0
701,4,4,0,0,0
701,4,5,0,0,0
701,4,6,0,0,0
701,4,7,0,0,0
701,4,8,0,0,0
701,4,9,0,0,0
701,5,1,0,0,1
701,5,2,0,0,0
701,5,3,0,0,0
701,5,4,0,0,2
701,5,5,0,0,0
701,5,6,0,0,0
701,5,7,0,0,0
701,5,8,0,0,0
701,5,9,0,0,0
701,6,1,0,1,0
701,6,2,0,2,0
701,6,3,0,0,0
701,6,4,0,1,0
701,6,5,0,0,0
701,6,6,0,0,0
701,6,7,0,0,0
701,6,8,0,1,0
